experiment_id,management,crop_type,crop_season,species,species_mix,cultivar,cultivar_mix,density_level,density_relative,density_factor,interrow,mixing_pattern,code_row,mixture_design,sowing_date,harvest_date,N_amount,N_fertilisation_number,N_fertilisation_dose_1,N_fertilisation_dose_2,N_fertilisation_dose_3,N_fertilisation_date_1,N_fertilisation_date_2,N_fertilisation_date_3,N_fertilisation_type,N_fertiliser,irrigation_amount,P_amount,pest_control
Angers_jailliere_2007,M9,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.175,within_row,NA,substitutive,2006-10-31,2007-06-29,45,1,45,NA,NA,2007-04-17,NA,NA,mineral,NH4NO3,0,0,yes
Angers_jailliere_2007,M5,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.175,within_row,NA,substitutive,2006-10-31,2007-06-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,yes
Angers_jailliere_2007,M6,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.175,within_row,NA,substitutive,2006-10-31,2007-06-29,45,1,45,NA,NA,2007-03-14,NA,NA,mineral,NH4NO3,0,0,yes
Angers_jailliere_2007,M7,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.175,within_row,NA,substitutive,2006-10-31,2007-06-29,45,1,45,NA,NA,2007-03-14,NA,NA,organic,cattle_manure,0,0,yes
Angers_jailliere_2007,M8,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.175,within_row,NA,substitutive,2006-10-31,2007-06-29,30,1,30,NA,NA,2007-04-06,NA,NA,mineral,NH4NO3,0,0,yes
Angers_jailliere_2007,M9,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.175,within_row,NA,substitutive,2006-10-31,2007-06-29,45,1,45,NA,NA,2007-04-17,NA,NA,mineral,NH4NO3,0,0,yes
Angers_jailliere_2008,M1,SC,winter,wheat_aestivum,wheat_aestivum,cezanne,cezanne,260,1,1,0.18,NA,NA,NA,2007-10-26,2008-07-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,yes
Angers_jailliere_2008,M2,SC,winter,wheat_aestivum,wheat_aestivum,cezanne,cezanne,260,1,1,0.18,NA,NA,NA,2007-10-26,2008-07-04,190,3,80,70,40,2008-03-07,2008-03-20,2008-05-14,mineral,NA,0,0,yes
Angers_jailliere_2008,M3,SC,winter,wheat_aestivum,wheat_aestivum,cezanne,cezanne,260,1,1,0.18,NA,NA,NA,2007-10-26,2008-07-04,45,1,45,NA,NA,2008-03-07,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M4,SC,winter,pea,pea,lucy,lucy,80,1,1,0.18,NA,NA,NA,2007-10-26,2008-07-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,yes
Angers_jailliere_2008,M5,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,yes
Angers_jailliere_2008,M6,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,45,1,45,NA,NA,2008-03-07,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M7,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,45,1,45,NA,NA,2008-02-07,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M8,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,30,1,30,NA,NA,2008-04-10,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M9,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,45,1,45,NA,NA,2008-05-14,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M10,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,90,1,90,NA,NA,2008-03-07,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M11,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,90,1,90,NA,NA,2008-02-07,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M12,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,60,1,60,NA,NA,2008-04-10,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M13,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,130,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,90,1,90,NA,NA,2008-05-14,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M5,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,yes
Angers_jailliere_2008,M6,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,45,1,45,NA,NA,2008-03-07,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M7,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,45,1,45,NA,NA,2008-02-07,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M8,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,30,1,30,NA,NA,2008-04-10,NA,NA,mineral,NA,0,0,yes
Angers_jailliere_2008,M9,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.18,within_row,NA,substitutive,2007-10-26,2008-07-04,45,1,45,NA,NA,2008-05-14,NA,NA,mineral,NA,0,0,yes
