species_mix_wheat_aestivum_lentil,density_n_ratio,plant_density,soil_water_capacity,density_error,nitrogen_residual,total_precipitation,n_amount,growing_days,stress_index,soil_ph,soil_awc,irrigation_amount,GDD,high_humidity_days,heat_stress_days,crop_season_winter
0.0,0.1864711934156378,14.917695473251028,-0.3668736568745356,-0.0823045267489721,35.0,1538.94,80.0,237.0,0.6160026414263702,7.393333333333333,291.5,0.0,2715.5995684931504,336.0,75.0,1.0
0.0,0.0,121.0,0.2395,-29.0,41.0,1447.72,0.0,110.0,0.4522342064714946,6.8,291.5,0.0,594.4883036935706,587.0,0.0,0.0
0.0,0.0,93.0,0.182,-57.0,41.0,1641.86,0.0,112.0,0.485362095531587,5.5,291.5,0.0,640.5787140902871,630.0,0.0,0.0
1.0,0.0,323.2323232323232,-0.524,23.23232323232321,31.227477029670656,1547.32,0.0,123.0,0.5164869029275809,7.9,294.0,0.0,1434.2499246575342,281.0,63.0,0.0
0.0,0.0,97.44,-0.552,-42.56,100.32300305199568,1395.83,0.0,243.0,0.5627779000660357,8.3,324.84063359499675,20.0,2940.9774041095893,304.0,69.0,1.0
1.0,0.0,271.7171717171717,-0.524,-28.28282828282829,31.227477029670656,1547.32,0.0,129.0,0.5164869029275809,7.9,294.0,0.0,1504.2133356164384,281.0,63.0,0.0
0.0,0.0,77.5034293552812,-0.5777888686387216,7.503429355281199,31.0,1547.32,0.0,204.0,0.5164869029275809,8.46,333.0,0.0,2378.75597260274,281.0,63.0,1.0
0.0,0.0,30.113636363636363,0.276,3.113636363636364,41.0,1503.56,0.0,253.0,0.3845770049159879,5.9,291.5,0.0,1726.333905608755,493.0,1.0,1.0
0.0,0.9798157946306094,44.091710758377424,0.3137,4.091710758377424,59.3,1592.27,45.0,252.0,0.4160246533127889,6.0,291.5,0.0,1631.112229822161,540.0,0.0,1.0
0.0,3.155006858710562,189.3004115226337,-0.3668736568745356,-10.69958847736629,35.0,1538.94,60.0,237.0,0.6160026414263702,7.393333333333333,291.5,0.0,2715.5995684931504,336.0,75.0,1.0
0.0,2.9545454545454546,88.63636363636364,0.269495,-61.36363636363636,41.0,1532.13,30.0,244.0,0.4424169051287695,5.7,291.5,0.0,2405.908520547945,463.0,18.0,1.0
0.0,0.318,25.44,-0.552,-4.559999999999999,100.32300305199568,1395.83,80.0,243.0,0.5627779000660357,8.3,324.84063359499675,20.0,2940.9774041095893,304.0,69.0,1.0
0.0,0.0,11.89169769416683,-0.51,-0.1083023058331704,41.0,1674.71,0.0,247.0,0.6461149020471055,8.1,230.0,0.0,2880.709302325581,338.0,81.0,1.0
1.0,0.0,135.353535353535,-0.5210546484649512,-14.646464646465006,20.0,1524.77,0.0,120.0,0.6209699904615159,7.9,291.5,0.0,1393.206566347469,293.0,83.0,0.0
0.0,0.0,113.42592592592592,0.349,-26.57407407407408,36.0,1301.25,0.0,232.0,0.6531807175874973,7.0,259.0,0.0,2799.632229822161,273.0,93.0,1.0
0.0,1.258116883116883,44.03409090909091,0.276,-0.9659090909090936,41.0,1503.56,35.0,253.0,0.3845770049159879,5.9,291.5,0.0,1726.333905608755,493.0,1.0,1.0
0.0,1.2012987012987013,42.04545454545455,0.276,-2.9545454545454533,41.0,1503.56,35.0,253.0,0.3845770049159879,5.9,291.5,0.0,1726.333905608755,493.0,1.0,1.0
