experiment_id,management,crop_type,crop_season,plant_family,species,species_mix,sowing_date,harvest_date,biomass_seed,plant_density,density_relative,density_factor,n_amount,cultivar,cultivar_mix,cultivar_management,cultivar_mix_management,density_factor_management,interrow,mixing_pattern,code_row,mixture_design,n_fertilisation_type,n_fertiliser,irrigation_amount,p_amount,pest_control,country,site,plot_name,plot_long,soil_awc,soil_clay,soil_sand,soil_silt,soil_ph,previous_crop,nitrogen_residual,heat_stress_days,total_precipitation,total_solar_radiation,high_humidity_days,growing_days,density_error,density_n_ratio,crowding,soil_water_capacity,NUE,GDD
Angers_jailliere_2008,M11,IC,winter,legume,pea,wheat_aestivum_pea,2007-10-26,2008-07-04,1.30652557319224,44.091710758377424,0.5,0.5_0.5,90,lucy,cezanne_lucy,lucy,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,4.091710758377424,0.4899078973153047,0,0.31370000000000003,0.014516950813247111,1631.112229822161
Angers_jailliere_2008,M11,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2007-10-26,2008-07-04,6.2213844797178135,108.90652557319224,0.5,0.5_0.5,90,cezanne,cezanne_lucy,cezanne,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-21.09347442680776,1.2100725063688027,0,0.31370000000000003,0.06912649421908681,1631.112229822161
Angers_jailliere_2008,M13,IC,winter,legume,pea,wheat_aestivum_pea,2007-10-26,2008-07-04,2.7380070546737234,41.44620811287478,0.5,0.5_0.5,90,lucy,cezanne_lucy,lucy,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,1.4462081128747784,0.4605134234763864,0,0.31370000000000003,0.030422300607485814,1631.112229822161
Angers_jailliere_2008,M13,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2007-10-26,2008-07-04,4.35705467372134,126.5432098765432,0.5,0.5_0.5,90,cezanne,cezanne_lucy,cezanne,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-3.4567901234567984,1.4060356652949244,0,0.31370000000000003,0.048411718596903776,1631.112229822161
Angers_jailliere_2008,M2,SC,winter,cereal,wheat_aestivum,wheat_aestivum,2007-10-26,2008-07-04,8.570061728395062,224.4268077601411,1.0,1,190,cezanne,cezanne,cezanne,cezanne,1,0.18,na,na,na,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-35.57319223985891,1.1811937250533742,0,0.31370000000000003,0.04510558804418454,1631.112229822161
Angers_jailliere_2008,M3,SC,winter,cereal,wheat_aestivum,wheat_aestivum,2007-10-26,2008-07-04,6.047751322751323,242.9453262786596,1.0,1,45,cezanne,cezanne,cezanne,cezanne,1,0.18,na,na,na,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-17.054673721340407,5.3987850284146575,0,0.31370000000000003,0.13439447383891828,1631.112229822161
Angers_jailliere_2008,M5,IC,winter,legume,pea,wheat_aestivum_pea,2007-10-26,2008-07-04,4.171604938271607,42.32804232804233,0.5,0.5_0.5,0,lucy,cezanne_lucy,lucy,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,na,na,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,2.3280423280423292,inf,0,0.31370000000000003,,1631.112229822161
Angers_jailliere_2008,M5,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2007-10-26,2008-07-04,2.7525132275132265,106.2610229276896,0.5,0.5_0.5,0,cezanne,cezanne_lucy,cezanne,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,na,na,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-23.738977072310405,inf,0,0.31370000000000003,,1631.112229822161
Angers_jailliere_2008,M6,IC,winter,legume,pea,wheat_aestivum_pea,2007-10-26,2008-07-04,3.3527336860670203,41.44620811287478,0.5,0.5_0.5,45,lucy,cezanne_lucy,lucy,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,1.4462081128747784,0.9210268469527728,0,0.31370000000000003,0.07450519302371156,1631.112229822161
Angers_jailliere_2008,M6,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2007-10-26,2008-07-04,4.125529100529104,123.4567901234568,0.5,0.5_0.5,45,cezanne,cezanne_lucy,cezanne,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-6.543209876543202,2.7434842249657065,0,0.31370000000000003,0.09167842445620232,1631.112229822161
Angers_jailliere_2008,M7,IC,winter,legume,pea,wheat_aestivum_pea,2007-10-26,2008-07-04,2.2887125220458566,30.8641975308642,0.5,0.5_0.5,45,lucy,cezanne_lucy,lucy,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-9.1358024691358,0.6858710562414266,0,0.31370000000000003,0.0508602782676857,1631.112229822161
Angers_jailliere_2008,M7,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2007-10-26,2008-07-04,4.552601410934743,115.52028218694886,0.5,0.5_0.5,45,cezanne,cezanne_lucy,cezanne,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-14.479717813051138,2.567117381932197,0,0.31370000000000003,0.1011689202429943,1631.112229822161
Angers_jailliere_2008,M8,IC,winter,legume,pea,wheat_aestivum_pea,2007-10-26,2008-07-04,3.0231481481481466,32.18694885361552,0.5,0.5_0.5,30,lucy,cezanne_lucy,lucy,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-7.813051146384481,1.0728982951205173,0,0.31370000000000003,0.10077160493827156,1631.112229822161
Angers_jailliere_2008,M8,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2007-10-26,2008-07-04,3.5789241622574965,115.07936507936508,0.5,0.5_0.5,30,cezanne,cezanne_lucy,cezanne,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-14.920634920634924,3.835978835978836,0,0.31370000000000003,0.11929747207524989,1631.112229822161
Angers_jailliere_2008,M9,IC,winter,legume,pea,wheat_aestivum_pea,2007-10-26,2008-07-04,2.592302017838773,44.091710758377424,0.5,0.5_0.5,45,lucy,cezanne_lucy,lucy,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,4.091710758377424,0.9798157946306094,0,0.31370000000000003,0.05760671150752828,1631.112229822161
Angers_jailliere_2008,M9,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2007-10-26,2008-07-04,4.003956182455034,112.8747795414462,0.5,0.5_0.5,45,cezanne,cezanne_lucy,cezanne,cezanne_lucy,0.5_0.5,0.18,within_row,na,substitutive,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.277,0.278,0.421,6.0,unknown,59.3,0,1592.27,9015.77,540,252,-17.125220458553798,2.50832843425436,0,0.31370000000000003,0.08897680405455631,1631.112229822161
Angers_thorigne_2003,M3,IC,spring,cereal,barley,barley_pea,2003-03-12,2003-07-10,1.1283055555555552,106.2825,0.5,0.5_0.5,0,scarlett,scarlett_baccara,scarlett,scarlett_baccara,0.5_0.5,0.15,alternate_row,1_1,substitutive,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.27,0.58,6.5,clover_grass,66.0,15,1451.31,9007.49,462,120,6.282499999999999,inf,0,0.31099999999999994,,1193.284109589041
Angers_thorigne_2003,M3,IC,spring,legume,pea,barley_pea,2003-03-12,2003-07-10,1.9125925925925904,46.620000000000005,0.5,0.5_0.5,0,baccara,scarlett_baccara,baccara,scarlett_baccara,0.5_0.5,0.15,alternate_row,1_1,substitutive,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.27,0.58,6.5,clover_grass,66.0,15,1451.31,9007.49,462,120,1.6200000000000045,inf,0,0.31099999999999994,,1193.284109589041
Angers_thorigne_2003,M4,IC,spring,cereal,barley,barley_pea,2003-03-12,2003-07-10,0.4494166666666667,105.7275,0.5,0.5_1,0,scarlett,scarlett_baccara,scarlett,scarlett_baccara,0.5_1,0.15,alternate_row,1_1,additive,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.27,0.58,6.5,clover_grass,66.0,15,1451.31,9007.49,462,120,5.727500000000006,inf,0,0.31099999999999994,,1193.284109589041
Angers_thorigne_2003,M4,IC,spring,legume,pea,barley_pea,2003-03-12,2003-07-10,2.836185185185183,78.255,1.0,0.5_1,0,baccara,scarlett_baccara,baccara,scarlett_baccara,0.5_1,0.15,alternate_row,1_1,additive,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.27,0.58,6.5,clover_grass,66.0,15,1451.31,9007.49,462,120,-11.745000000000005,inf,0,0.31099999999999994,,1193.284109589041
Angers_thorigne_2004,M3,IC,spring,cereal,barley,barley_pea,2004-03-11,2004-07-12,1.3013888888888907,152.3475,0.5,0.5_0.5,0,scarlett,scarlett_baccara,scarlett,scarlett_baccara,0.5_0.5,0.15,alternate_row,1_1,substitutive,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.27,0.58,6.7,ray_grass,76.0,20,1255.58,9268.02,416,123,2.3474999999999966,inf,0,0.31099999999999994,,1214.2337893296856
Angers_thorigne_2004,M3,IC,spring,legume,pea,barley_pea,2004-03-11,2004-07-12,0.795638888888889,45.7875,0.5,0.5_0.5,0,baccara,scarlett_baccara,baccara,scarlett_baccara,0.5_0.5,0.15,alternate_row,1_1,substitutive,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.27,0.58,6.7,ray_grass,76.0,20,1255.58,9268.02,416,123,0.7875000000000014,inf,0,0.31099999999999994,,1214.2337893296856
Angers_thorigne_2004,M4,IC,spring,cereal,barley,barley_pea,2004-03-11,2004-07-12,1.1881666666666677,159.84,0.5,0.5_1,0,scarlett,scarlett_baccara,scarlett,scarlett_baccara,0.5_1,0.15,alternate_row,1_1,additive,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.27,0.58,6.7,ray_grass,76.0,20,1255.58,9268.02,416,123,9.840000000000003,inf,0,0.31099999999999994,,1214.2337893296856
Angers_thorigne_2004,M4,IC,spring,legume,pea,barley_pea,2004-03-11,2004-07-12,0.904777777777778,85.47,1.0,0.5_1,0,baccara,scarlett_baccara,baccara,scarlett_baccara,0.5_1,0.15,alternate_row,1_1,additive,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.27,0.58,6.7,ray_grass,76.0,20,1255.58,9268.02,416,123,-4.530000000000001,inf,0,0.31099999999999994,,1214.2337893296856
Angers_thorigne_2006,M1,SC,winter,cereal,wheat_aestivum,wheat_aestivum,2005-11-17,2006-07-06,2.1745277777777776,353.3333333333335,1.0,1,0,apache,apache,apache,apache,1,0.145,na,na,na,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.278,0.4216,6.0,unknown,41.0,34,1326.96,9298.84,395,231,53.333333333333485,inf,0,0.25676,,2291.569047945205
Angers_thorigne_2006,M3,IC,winter,legume,pea,wheat_aestivum_pea,2005-11-17,2006-07-06,1.1893055555555532,32.77777777777777,0.5,0.5_0.5,0,lucy,apache_lucy,lucy,apache_lucy,0.5_0.5,0.145,within_row,na,substitutive,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.278,0.4216,6.0,unknown,41.0,34,1326.96,9298.84,395,231,-12.222222222222229,inf,0,0.25676,,2291.569047945205
Angers_thorigne_2006,M3,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2005-11-17,2006-07-06,2.059416666666668,156.94444444444426,0.5,0.5_0.5,0,apache,apache_lucy,apache,apache_lucy,0.5_0.5,0.145,within_row,na,substitutive,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.278,0.4216,6.0,unknown,41.0,34,1326.96,9298.84,395,231,6.944444444444258,inf,0,0.25676,,2291.569047945205
Angers_thorigne_2006,M4,IC,winter,legume,pea,wheat_aestivum_pea,2005-11-17,2006-07-06,2.037472222222225,44.16666666666665,0.7,0.3_0.7,0,lucy,apache_lucy,lucy,apache_lucy,0.3_0.7,0.145,within_row,na,substitutive,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.278,0.4216,6.0,unknown,41.0,34,1326.96,9298.84,395,231,-18.83333333333335,inf,0,0.25676,,2291.569047945205
Angers_thorigne_2006,M4,IC,winter,cereal,wheat_aestivum,wheat_aestivum_pea,2005-11-17,2006-07-06,1.2966666666666675,114.722222222222,0.3,0.3_0.7,0,apache,apache_lucy,apache,apache_lucy,0.3_0.7,0.145,within_row,na,substitutive,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.15,0.278,0.4216,6.0,unknown,41.0,34,1326.96,9298.84,395,231,24.722222222222,inf,1,0.25676,,2291.569047945205
Angers_thorigne_2007,M1,SC,winter,cereal,wheat_aestivum,wheat_aestivum,2006-11-02,2007-07-04,3.996786631012098,223.8636363636364,1.0,1,0,apache,apache,apache,apache,1,0.145,na,na,na,na,na,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.1173,0.461,0.4216,5.7,unknown,41.0,18,1532.13,9026.1,463,244,-76.1363636363636,inf,0,0.269495,,2405.908520547945
Angers_thorigne_2007,M2,SC,winter,cereal,wheat_aestivum,wheat_aestivum,2006-11-02,2007-07-04,5.98208103998516,244.0340909090909,1.0,1,45,apache,apache,apache,apache,1,0.145,na,na,na,organic,cattle_manure,0.0,0,no,France,Angers,thorigne,-0.666344,291.5,0.1173,0.461,0.4216,5.7,unknown,41.0,18,1532.13,9026.1,463,244,-55.96590909090909,5.422979797979798,0,0.269495,0.13293513422189246,2405.908520547945
